"orderNo","vendor","vendorOrderNo","orderDate","paymentMethod","shippingMethod","trackingNumber","sku","qty","received","price"
"587","Amazon","?112-6131929-4281069","2025-08-21","3005","","","239815","1","8/27/2025","12.7093997413054"
"588","Amazon","114-3901778-7848206","2025-08-22","3005","","","181145","1","8/23/2025","56.1694017081097"
"597","Amazon","112-3772048-5617827","2025-08-27","3005","","","02IQJG1T","1","8/29/2025","15.8893997372821"
"616","Amazon","114-8904504-5153005","2025-09-16","3005","","","1009810","1","9/17/2025","-0.572399958840013"
"632","Amazon","","2025-11-03","","","","241022","1","11/4/2025","37.9799995422363"
"661","Belmont Butchery","","2025-12-15","Cash","oldmanwalking","","103595","1","12/15/2025","7.12809991836548"
"650","Chewy.com","5061386080","2025-11-29","2466","fedex","","575794","1","11/30/2025","14.3699998855591"
"654","Chewy.com","5063807250","2025-12-03","5933","fedex","","100429","1","12/4/2025","16.9799995422363"
"654","Chewy.com","5063807250","2025-12-03","5933","fedex","","999910","1","12/4/2025","37.439998626709"
"657","Chewy.com","5066865032","2025-12-08","5933","fedex","","100429","1","12/11/2025","16.9799995422363"
"667","Chewy.com","5085237420","2026-01-12","5933","fedex","","575794","2","1/14/2026","28.7399997711182"
"667","Chewy.com","5085237420","2026-01-12","5933","fedex","","999910","1","1/14/2026","39.0699996948242"
"684","Chewy.com","","2026-02-09","5933","fedex","","168580","1","2/11/2026","18.9899997711182"
"684","Chewy.com","","2026-02-09","5933","fedex","","575794","1","2/11/2026","14.3699998855591"
"684","Chewy.com","","2026-02-09","5933","fedex","","999910","1","2/11/2026","38.254997253418"
"574","Costco Glen Allen","1222885870","2025-09-11","3005","","","894679","1","9/8/2025","65"
"624","Costco Glen Allen","","2025-10-09","2466","","","952912","1","10/19/2025","27.9899997711182"
"624","Costco Glen Allen","","2025-10-09","2466","","","954930","1","10/19/2025","17.9899997711182"
"629","Costco Glen Allen","1237247325","2025-11-15","2466","","","952912","1","11/14/2025","32.9900016784668"
"638","Costco Glen Allen","","2025-11-04","","","","024719","1","11/4/2025","9.98999977111816"
"638","Costco Glen Allen","","2025-11-04","","","","141323","1","11/4/2025","14.9899997711182"
"638","Costco Glen Allen","","2025-11-04","","","","954930","1","11/4/2025","17.9899997711182"
"660","Costco Glen Allen","","2025-12-12","Cash","oldmanwalking","","954930","1","12/13/2025","18.9899997711182"
"669","Costco Glen Allen","","2026-01-01","5933","car","","188755","1","1/12/2026","4.48999977111816"
"669","Costco Glen Allen","","2026-01-01","5933","car","","1919326","1","1/12/2026","28.4899997711182"
"669","Costco Glen Allen","","2026-01-01","5933","car","","194643","1","1/12/2026","20.9899997711182"
"669","Costco Glen Allen","","2026-01-01","5933","car","","954930","1","1/12/2026","18.9899997711182"
"683","Costco Glen Allen","","2026-02-03","5933","oldmanwalking","","614422","1","2/12/2026","17.9899997711182"
"691","Costco Glen Allen","1269993605","2026-03-11","CHASE","fedex","513949903459","954930","1","3/15/2026","21.4899997711182"
"699","Costco Glen Allen","","2026-04-09","5933","fedex","","210120","1","","0"
"699","Costco Glen Allen","","2026-04-09","5933","fedex","","522965","1","","0"
"699","Costco Glen Allen","","2026-04-09","5933","fedex","","952912","1","","0"
"699","Costco Glen Allen","","2026-04-09","5933","fedex","","954930","1","","0"
"611","Costco Midlothian","1222886710","2025-09-08","3005","","","000860","1","9/12/2025","3.96000003814697"
"611","Costco Midlothian","1222886710","2025-09-08","3005","","","522965","1","9/12/2025","26.9899997711182"
"611","Costco Midlothian","1222886710","2025-09-08","3005","","","952912","1","9/12/2025","32.9900016784668"
"617","Costco Midlothian","1224682440","2025-09-17","3005","","","210120","1","9/22/2025","25.1561693423483"
"619","Costco Midlothian","","2025-09-19","3005","","","954930","1","9/23/2025","19.5838993792109"
"640","Fresh Chili Company","FCC-439711","2025-11-05","5933","","","569163","1","11/12/2025","10.9499998092651"
"643","Fresh Chili Company","FCC-300949","2024-10-28","3005","","","624543","1","11/5/2024","0"
"658","Google Fi","GS.3154-4383-9660","2025-12-08","5933","fedex","451684887450","BSP7S3","1","12/20/2025","49.9900054931641"
"696","Girl Scouts of the Commonwealth of Virginia","","2026-03-15","5933","oldmanwalking","","070337","1","3/15/2026","5"
"566","Kroger, West Cary Street","","2025-07-20","3005","oldmanwalking","","000860","1","7/20/2025","0.159999996423721"
"566","Kroger, West Cary Street","","2025-07-20","3005","oldmanwalking","","035357","1","7/20/2025","3.28999996185303"
"566","Kroger, West Cary Street","","2025-07-20","3005","oldmanwalking","","702351","1","7/20/2025","12.9899997711182"
"566","Kroger, West Cary Street","","2025-07-20","3005","oldmanwalking","","714332","2","7/20/2025","3"
"567","Kroger, West Cary Street","","2025-07-21","3005","","","000028","1","7/19/2025","4.98999977111816"
"567","Kroger, West Cary Street","","2025-07-21","3005","","","000860","1","7/21/2025","0.159999996423721"
"567","Kroger, West Cary Street","","2025-07-21","3005","","","001615","1","7/21/2025","2.76999998092651"
"567","Kroger, West Cary Street","","2025-07-21","3005","","","004011","3.2","7/21/2025","1.76000010967255"
"567","Kroger, West Cary Street","","2025-07-21","3005","","","004068","1","7/21/2025","0.990000009536743"
"567","Kroger, West Cary Street","","2025-07-21","3005","","","004090","1","7/21/2025","1.71140003204346"
"567","Kroger, West Cary Street","","2025-07-21","3005","","","004664","1.83","7/21/2025","4.00769996643066"
"567","Kroger, West Cary Street","","2025-07-21","3005","","","050054","1","7/19/2025","4.48999977111816"
"567","Kroger, West Cary Street","","2025-07-21","3005","","","089301","1","7/19/2025","4.28999996185303"
"567","Kroger, West Cary Street","","2025-07-21","3005","","","091487","1","7/21/2025","2.35999989509583"
"567","Kroger, West Cary Street","","2025-07-21","3005","","","600232","1","7/21/2025","4.28999996185303"
"567","Kroger, West Cary Street","","2025-07-21","3005","","","714690","2","7/21/2025","3"
"567","Kroger, West Cary Street","","2025-07-21","3005","","","898760","1","7/21/2025","2.39000010490417"
"576","Kroger, West Cary Street","","2025-08-14","3005","","","000860","1","8/11/2025","0.449999988079071"
"576","Kroger, West Cary Street","","2025-08-14","3005","","","001052","1","8/11/2025","4.98999977111816"
"576","Kroger, West Cary Street","","2025-08-14","3005","","","004093","1","8/11/2025","2.63730001449585"
"576","Kroger, West Cary Street","","2025-08-14","3005","","","004693","1","8/11/2025","0.523900032043457"
"576","Kroger, West Cary Street","","2025-08-14","3005","","","011975","1","8/11/2025","1"
"576","Kroger, West Cary Street","","2025-08-14","3005","","","038815","1","8/11/2025","1.28999996185303"
"576","Kroger, West Cary Street","","2025-08-14","3005","","","050312","1","8/11/2025","5.98999977111816"
"576","Kroger, West Cary Street","","2025-08-14","3005","","","060933","1","8/11/2025","4.78999996185303"
"576","Kroger, West Cary Street","","2025-08-14","3005","","","080987","1","8/11/2025","1.38999998569489"
"576","Kroger, West Cary Street","","2025-08-14","3005","","","084948","1","8/11/2025","3.28999996185303"
"576","Kroger, West Cary Street","","2025-08-14","3005","","","091487","1","8/11/2025","2.28999996185303"
"576","Kroger, West Cary Street","","2025-08-14","3005","","","214454","1","8/11/2025","3.49000000953674"
